id,cfTitle,cfAbstr,keywords,keyword_clean,lang
10101316,Configuring Reference Models - An Integrated Approach for Transaction Processing and Decision Support,"Reference models are of normative, universal nature and provide a solution schema for specific problems by depicting best or common-practice approaches. The configuration of these reference models has been a field of research in the past. However, the integrative configuration of different reference models or respectively reference models serving multiple purposes lacks of applicable methods. In practice this is a common problem as the simultaneous implementation of an enterprise resource planning system and a management information system shows. We provide a method that allows the integrative configuration of conceptual models for transaction processing and decision support by integrating meta models for modeling languages. In addition, we exemplarily show its application to extend an existing reference model.","['Configuration', 'Decision support', 'Integration', 'Methods', 'Reference models', 'Transaction processing']","['Configuration, Decision support, Integration, Methods, Reference models, Transaction processing']",en
10105507,Konnektionistische Tourenplanung für die dezentrale Vertriebsaußendienststeuerung,"Die Aufstellung effizienter Tourenpl&auml;ne stellt eine wichtige Aufgabe im Rahmen der indu&shy;striellen Vertriebslogistik dar. Der dezentrale Einsatz konventioneller Tourenplanungs&shy;systeme war bisher, u.a. wegen der hohen technischen Anforderungen, nicht m&ouml;glich. Konnektionistische Verfahren erm&ouml;glichen die effiziente L&ouml;sung spezifischer Anwendungsprobleme, die weder mit konventionellen Algorithmen noch mit Expertensystemen befriedigend gel&ouml;st wurden; sie zeichnen sich u.a. durch (quasi-) parallele Verarbeitung, ein gutes N&auml;herungsverhalten und Lernf&auml;higkeit aus. Es werden Vorteile und Einsatzm&ouml;glichkeiten konnektionistischer Verfahren f&uuml;r die Tourenplanung verdeutlicht und ein Prototyp eines konnektionistischen Softwaresystems vorgestellt. Bei einem kundenorientierten Ansatz ist neben den logistischen Restriktionen der relative Wert des pers&ouml;nlichen Kundenbesuchs (abh&auml;ngig vom Umsatzpotential und der &uuml;blichen Besuchsfrequenz) zu ber&uuml;cksichtigen.",,,de
10971967,Cryptocoin-Schulden – Haftung und Risikoverteilung bei der Verschaffung von Bitcoins und Alt-Coins,,,,de
10976734,Benefits and Perils of Virtual Modes of Organizing – A Call for Practical Wisdom,,,,en
10982470,Dynamic Decision Making in Energy Systems with Storage and Renewable Energy Sources,<html />,"['Energy storage', 'Sequential decision making', 'Stochastic optimization']","['Energy storage, Sequential decision making, Stochastic optimization']",en
11916895,Towards Bitcoin Payment Networks,"Bitcoin as deployed today does not scale. Scalability research has focused on two directions: (1) redesigning the Blockchain protocol, and (2) facilitating ‘off-chain transactions’ and only consulting the Blockchain if an adjudicator is required. In this paper we focus on the latter and provide an overview of Bitcoin payment networks. These consist of two components: payment channels to facilitate off-chain transactions between two parties, and the capability to fairly exchange bitcoins across multiple channels. We compare Duplex Micropayment Channels and Lightning Channels, before discussing Hashed Time-Locked Contracts which enable Bitcoin-based payment networks. Finally, we highlight challenges for route discovery in these networks.",,,en
11917046,Business Apps: Grundlagen und Status quo,,,,de
11925120,Underlay-Robust Application Layer Multicast,"In recent years, ALM emerged as cost-efficient and scalable form of content distribution by overcoming the classical client-server bottleneck. The client bandwidth is incorporated to stream distribution, so that every client that receives the stream forwards it as well. ALM systems are usually classified in push, pull and hybrid approaches [1]. In the remainder of this article we are focusing on live-streaming, which imposes strict delay constraints on the content distribution and thus cannot be realized with pull-based approaches. Hence, we concentrate on push-based ALM that splits a stream in multiple substreams (so-called stripes) by using Multiple Description Coding (MDC) and assigns each of them a separate spanning tree. However, the results of this article apply to hybrid and partially to pull-based approaches as well. © 2011 IEEE.",,,en
12236895,Language Theories in IS Research – A Review,"Language and design-oriented information systems (IS) research are indelibly intertwined. Analyzing the history of IS research it becomes evident that linguistics as a reference discipline became increasingly important over the last decades. Especially from the perspective of German design-oriented IS research/Wirtschaftsinformatik, language has been of great importance (Ortner, 2004; Wedekind et al., 2004; Holten, 2003; Becker et al., 2004; Heinemann, 2006; Ortner, 2002; Wyssusek et al., 2002; Becker a. Niehaves, 2007) and can be regarded as a key means for building up a profile of the Wirtschaftsinformatik in an international IS research context (Niehaves, 2006). However, language and its impact on IS research can be seen from different angles.",,,en
12236971,How to inform the point of single contact? – A business process based approach,"The EU-Service-Directive will lead to big challenges for public administrations. The administrations have to offer a point of single contact supporting the customer. This point of single contacts needs an overview of the administrational processes to perform his task. As processes from different organizations and organizational units are relevant for the EU-Service-Directive they can only be captured by using a distributed approach. The contribution of this paper is to present a domain specific distributed modeling method which allows a fast, efficient, and consistent capturing of the information needed for the point of single contact.",,,en
12237056,E-Services im Handel – Auffindung und Dokumentation von Potenzialen zur Digitalisierung von Dienstleistungen für Hersteller und Kunden,"Dienstleistungen haben weltweit eine zunehmend wichtige Rolle bei der Wertsch&ouml;pfung. Nicht zuletzt deshalb wird in der angloa-merikanischen Dienstleistungsforschung die Erstellung von Dienstleistungen neben der Erstellung physischer G&uuml;ter als bedeutsamste Grundlage der Wertsch&ouml;pfung insgesamt gesehen, was sich im Rahmen eines Paradigmenwechsels der Erstellung von Werten hin zu einer &bdquo;Service-dominant logic"" manifestiert. Die Wertsch&ouml;pfung f&uuml;r Kunden findet in diesem Zuge durch die geeignete Kombination von Produkten und Dienstleistungen statt, die gemeinsam einen Nutzen f&uuml;r den Kunden erbringen sollen.",,,de
12237142,Implementing Value-Driven Service Management – Towards an IT Artifact-Based Approach for Managing Customer Solutions,"In the emerging service economy, leading edge companies supply their customers with integrated customer solutions, which comprise services and physical goods as integrated value propositions. Developing theoretical conceptualizations of value and the service-dominant logic of marketing are important research fields currently addressed in the emerging research discipline of Service Science Management and Engineering (SSME). Even so, companies lack information on how to put a value-driven management of customer solutions into action on an operational level of management. Particularly missing are reliable constructs, models, methods and instantiations to identify the pricing window for customer solutions according to the costs of provision for the provider and the willingness-to-pay of a customer. Therefore, the contribution of the paper is a framework of IT artifacts for enabling a value-driven management of customer solutions, taking both aspects into account on four layers for management, namely customer solution portfolio, customer solution, business processes, and information services.",,,en
12237222,"Value-Driven Service System Management – Designing IT Artifacts for Representing, Configuring and Pricing Customer Solutions",,,,other
12237300,PAS 1094: Hybride Wertschöpfung - Integration von Produktion und Dienstleistung.,,,,de
12237378,Konfigurative Prozessmodellierung der hybriden Leistungserstellung in Unternehmensnetzwerken des Maschinen- und Anlagenbaus,"<p>Die im Maschinen- und Anlagenbau zunehmend verbreitete Erstellung
hybrider Leistungsbündel aus Sachgütern und Dienstleistungen wird häufig in
Netzwerken aus Kunden und Lieferanten entlang der Wertschöpfungskette ausgeführt. Je nach Ausrichtung des Geschäftsmodells und der Rollenverteilung innerhalb des Netzwerks ändern sich die Prozesse der beteiligten Wertschöpfungspartner. Der vorliegende Beitrag analysiert die sich hieraus ergebenden Anforderungen
an Prozessmodelle für die hybride Wertschöpfung aus der Perspektive zweier
Wertschöpfungsnetzwerke im Maschinen- und Anlagenbau. Als ein Lösungsansatz
werden konfigurierbare Prozessmodelle identifiziert. Für den unternehmensübergreifenden Prozess der Störfallbeseitigung wurde ein Prozessmodell konstruiert,
das als Ausgangslösung toolgestützt an die Erfordernisse speziell ausgeprägter
Netzwerke angepasst werden kann. <br /></p>",Wertschöpfung; Hybrid; Prozessmodell; Netzwerke,"['Wertschöpfung', ' Hybrid', ' Prozessmodell', ' Netzwerke']",de
12237457,Entwicklung Serviceorientierter Architekturen zur Integration von Produktion und Dienstleistung – Eine Konzeptionsmethode und ihre Anwendung am Beispiel des Recyclings elektronischer Geräte,"Die Erstellung von Leistungsb&uuml;ndeln aus Sach- und Dienstleistungen wird f&uuml;r Unternehmen immer bedeutender. Dabei setzen eine Ver&auml;nderung der organisatorischen Rahmenbedingungen und die dynamische Anpassung der Leistungserstellung an wechselnde Kundenanforderungen wandlungsf&auml;hige Informationssystemarchitekturen in Produktion und Dienstleistung voraus. Serviceorientierte Architekturen (SOA) leisten einen Beitrag zur Erh&ouml;hung dieser Wandlungsf&auml;higkeit. Jedoch ist die Identifikation, Spezifikation und Implementierung von Services als Basis der Serviceorientierten Architekturen bislang nur unzureichend methodisch unterst&uuml;tzt. Der Schlie&szlig;ung dieser Forschungsl&uuml;cke dient eine Konzeptionsmethode, die Ans&auml;tze zur Kundenintegration adaptiert und eine betriebswirtschaftliche mit einer informationstechnischen Analyse verbindet. Die Anwendbarkeit der Methode wird dabei anhand der prototypischen Erstellung einer Serviceorientierten Architektur f&uuml;r das Recycling elektronischer Ger&auml;te demonstriert. Die angestrebte Ausweitung der Architektur auf weitere Leistungsb&uuml;ndel und die Standardisierung der dabei spezifizierten Services zielen darauf ab, in zuk&uuml;nftigen Arbeiten die Aussch&ouml;pfung bestehender Potentiale bei der Integration von Produktion und Dienstleistung durch die Bereitstellung einer umfassenden Referenzarchitektur zu f&ouml;rdern.",,,de
12237601,Identification of services - A stakeholder-based approach to SOA development and its application in the area of production planning,"A successful implementation of a service oriented architecture demands for a systematic identification of the information system functions to be implemented as services. In contrast to other approaches attempting to transfer each existing function in a company into a service, the method presented in this paper proposes a selective identification of services from a business point of view, based on process models. Functions are rated due to their outsourcing and visibility potential for stakeholders. Functions are only implemented and provided as a service, if both business potential and technical feasibility have been verified. Having been evaluated in a medium-sized manufacturing company, the approach and the results of the evaluation can also facilitate a sound service identification in other companies.","['Process model analysis', 'Production planning', 'Service identification', 'SOA', 'Stakeholder']","['Process model analysis, Production planning, Service identification, SOA, Stakeholder']",en
12237679,Konfliktäre Bezeichnungen in Ereignisgesteuerten Prozessketten - Linguistische Analyse und Vorschlag eines Lösungsansatzes,,Processmodell; EPK; Ereignisgesteuerte Prozesskette; Bezeichnungskonventionen; Analyse; Linguistik,"['Processmodell', ' EPK', ' Ereignisgesteuerte Prozesskette', ' Bezeichnungskonventionen', ' Analyse', ' Linguistik']",de
12237767,Unified Enterprise Knowledge Representation with Conceptual Models - Capturing Corporate Language in Naming Conventions,"Conceptual modeling is an established instrument in the knowledge engineering process. However, a precondition for the usability of conceptual models is not only their syntactic correctness but also their semantic comparability. Assuring comparability is quite challenging especially when models are developed by different persons. Empirical studies show that such models can vary heavily, especially in model element naming, even if they are meant to express the same issue. In contrast to most ontology-driven approaches proposing the resolution of these differences ex-post, we introduce an approach that avoids naming differences in conceptual models already during modeling. Therefore we formalize naming conventions combining domain thesauri and phrase structures based on a linguistic grammar. This allows for guiding modelers automatically during the modeling process using standardized labels for model elements, thus assuring unified enterprise knowledge representation. Our approach is generic, making it applicable for any modeling language.",Knowledge Management; Information Modeling; Naming Conventions; Corporate Language,"['Knowledge Management', ' Information Modeling', ' Naming Conventions', ' Corporate Language']",en
